"id";"data_criacao";"semente";"data_encerramento";"data_parou_comprar";"dias_sem_compra"
92;"2022-08-25";44;;;
93;"2020-04-25";43;;;
94;"2020-04-12";71;;;
95;"2022-02-17";55;;;
96;"2021-04-20";39;;;
97;"2018-08-23";65;;;
98;"2018-11-27";68;;;
99;"2019-04-09";78;;;
100;"2022-01-05";4;"2022-11-15";"2022-05-02";197
101;"2018-12-20";71;;;
102;"2022-04-12";90;;;
103;"2019-11-10";11;;"2022-04-17";247
104;"2019-02-14";14;;"2022-08-28";114
105;"2019-11-07";75;;;
106;"2018-03-05";71;;;
107;"2019-01-12";77;;;
108;"2021-05-21";82;;;
109;"2018-11-23";59;;;
110;"2018-04-26";2;"2022-11-05";"2021-12-17";323
111;"2022-06-13";58;;;
112;"2018-05-05";30;;;
113;"2021-11-07";20;;"2022-04-15";249
114;"2018-08-14";29;;;
115;"2020-08-21";89;;;
116;"2020-05-15";71;;;
117;"2022-12-09";6;;"2022-10-24";57
118;"2019-05-02";71;;;
119;"2022-07-15";89;;;
120;"2020-06-27";28;;;
121;"2022-03-02";83;;;
122;"2018-12-27";82;;;
123;"2020-03-03";91;;;
124;"2019-07-07";47;;;
125;"2021-03-21";76;;;
126;"2019-05-03";19;;"2022-06-28";175
127;"2022-10-07";39;;;
128;"2021-10-23";1;"2022-09-08";"2021-12-21";261
129;"2020-03-10";90;;;
130;"2019-01-25";16;;"2021-11-24";391
131;"2020-11-08";46;;;
132;"2021-02-08";64;;;
133;"2018-05-19";93;;;
134;"2022-08-31";30;;;
135;"2022-03-06";53;;;
136;"2020-03-07";74;;;
137;"2022-10-15";53;;;
138;"2018-03-30";45;;;
139;"2018-08-07";48;;;
140;"2018-09-19";93;;;
141;"2018-07-05";91;;;
142;"2018-01-29";94;;;
143;"2019-01-03";99;;;
144;"2022-04-24";82;;;
145;"2018-08-25";55;;;
146;"2021-08-06";80;;;
147;"2019-09-18";77;;;
148;"2018-08-14";4;"2022-09-05";"2022-02-12";205
149;"2022-11-18";33;;;
150;"2019-04-14";66;;;
151;"2021-01-21";37;;;
152;"2022-01-30";48;;;
153;"2020-03-21";9;;"2022-04-30";234
154;"2018-04-06";59;;;
155;"2018-08-18";10;;"2022-06-01";202
156;"2018-06-22";5;"2022-10-17";"2022-01-25";265
157;"2019-07-19";44;;;
158;"2018-06-05";35;;;
159;"2022-03-26";96;;;
160;"2021-09-07";1;"2022-08-30";"2021-11-17";286
161;"2019-06-11";4;"2022-10-15";"2021-12-07";312
162;"2020-02-14";36;;;
163;"2019-10-29";40;;;
164;"2019-10-10";42;;;
165;"2019-10-26";78;;;
166;"2019-01-14";13;;"2022-11-26";24
167;"2021-11-27";71;;;
168;"2019-08-22";16;;"2022-03-23";272
169;"2019-03-26";20;;"2022-10-29";52
170;"2022-06-15";63;;;
171;"2020-04-22";47;;;
172;"2019-09-10";84;;;
173;"2022-06-26";62;;;
174;"2021-04-06";22;;"2022-12-12";8
175;"2019-01-13";95;;;
176;"2018-03-02";8;;"2022-08-08";134
177;"2019-11-23";50;;;
178;"2020-09-12";11;;"2022-05-13";221
179;"2018-09-25";12;;"2022-09-10";101
180;"2019-10-22";28;;;
181;"2021-12-06";46;;;
182;"2021-09-28";40;;;
183;"2018-12-03";5;"2022-12-15";"2021-12-26";354
184;"2019-03-09";52;;;
185;"2021-12-14";81;;;
186;"2019-07-02";27;;;
187;"2019-08-10";36;;;
188;"2018-07-13";42;;;
189;"2019-11-16";92;;;
190;"2018-11-15";66;;;
191;"2022-03-02";99;;;
192;"2021-04-08";35;;;
193;"2020-12-11";58;;;
194;"2019-01-10";5;"2022-08-18";"2021-10-09";313
195;"2018-01-27";26;;;
196;"2022-09-18";66;;;
197;"2020-01-05";37;;;
198;"2021-12-05";69;;;
199;"2019-05-21";24;;"2022-10-16";65
200;"2021-03-12";38;;;
201;"2021-06-01";55;;;
202;"2021-08-23";53;;;
203;"2022-11-01";6;;"2022-06-07";196
204;"2020-12-06";71;;;
205;"2019-12-09";46;;;
206;"2018-11-26";5;"2022-10-13";"2022-02-12";243
207;"2021-01-17";51;;;
208;"2021-10-13";17;;"2022-02-03";320
209;"2021-07-20";45;;;
210;"2021-09-24";42;;;
211;"2018-08-16";63;;;
212;"2020-07-07";15;;"2022-06-09";194
213;"2020-07-04";31;;;
214;"2019-06-30";7;;"2021-11-03";412
215;"2021-08-25";59;;;
216;"2019-06-30";3;"2022-12-12";"2022-04-24";232
217;"2020-12-10";74;;;
218;"2018-04-16";74;;;
219;"2019-12-23";80;;;
220;"2022-10-07";87;;;
221;"2019-02-11";69;;;
222;"2019-03-05";56;;;
223;"2021-01-24";49;;;
224;"2022-01-03";87;;;
225;"2020-02-25";12;;"2022-06-12";191
226;"2021-02-02";97;;;
227;"2021-10-03";75;;;
228;"2022-02-11";52;;;
229;"2020-01-20";20;;"2022-06-18";185
230;"2018-03-05";23;;"2022-02-15";308
231;"2020-05-04";97;;;
232;"2018-07-03";48;;;
233;"2021-10-07";71;;;
234;"2020-03-16";36;;;
235;"2021-05-20";37;;;
236;"2018-09-27";59;;;
237;"2021-01-21";88;;;
238;"2019-06-19";69;;;
239;"2022-06-21";19;;"2022-03-26";269
240;"2019-08-23";17;;"2022-07-07";166
241;"2018-03-25";39;;;
242;"2018-02-16";1;"2022-09-22";"2021-11-09";317
243;"2022-02-09";44;;;
244;"2020-09-07";92;;;
245;"2019-07-28";78;;;
246;"2020-10-16";65;;;
247;"2022-02-17";55;;;
248;"2022-06-18";63;;;
249;"2021-01-11";69;;;
250;"2019-02-20";17;;"2021-11-27";388
251;"2022-04-06";24;;"2022-11-04";46
252;"2022-02-04";42;;;
253;"2020-04-06";74;;;
254;"2020-05-12";3;"2022-11-29";"2021-12-10";354
255;"2021-02-19";67;;;
256;"2022-05-13";55;;;
257;"2018-06-27";58;;;
258;"2019-12-04";37;;;
259;"2021-07-05";15;;"2022-06-30";173
260;"2020-06-28";43;;;
261;"2020-01-18";73;;;
262;"2018-11-18";34;;;
263;"2020-12-10";10;;"2021-11-21";394
264;"2018-11-05";2;"2022-08-31";"2022-02-07";205
265;"2021-01-14";13;;"2022-12-07";13
266;"2019-05-12";87;;;
267;"2019-07-15";6;;"2022-02-28";295
268;"2019-02-17";73;;;
269;"2020-10-09";25;;"2022-02-13";310
270;"2019-01-14";61;;;
271;"2020-09-21";49;;;
272;"2020-12-14";74;;;
273;"2019-02-11";19;;"2022-03-26";269
274;"2019-11-12";25;;"2022-11-24";26
275;"2018-09-03";35;;;
276;"2020-08-20";99;;;
277;"2022-08-09";8;;"2022-05-28";206
278;"2022-10-02";22;;"2022-07-22";151
279;"2020-02-18";95;;;
280;"2020-09-01";37;;;
281;"2018-12-04";95;;;
282;"2019-06-06";90;;;
283;"2019-10-18";25;;"2022-03-15";280
284;"2021-02-19";74;;;
285;"2021-09-27";41;;;
286;"2022-11-18";47;;;
287;"2020-07-13";29;;;
288;"2022-03-05";76;;;
289;"2019-11-02";7;;"2022-07-28";145
290;"2019-01-28";42;;;
291;"2019-09-12";48;;;
292;"2021-11-01";39;;;
293;"2019-11-28";27;;;
294;"2022-08-04";86;;;
295;"2022-08-18";1;"2022-08-18";"2022-01-23";207
296;"2022-11-24";90;;;
297;"2018-12-25";40;;;
298;"2019-03-14";60;;;
299;"2019-01-22";71;;;
300;"2021-09-15";79;;;
301;"2020-03-08";93;;;
302;"2021-09-25";90;;;
303;"2019-09-10";43;;;
304;"2021-04-01";79;;;
305;"2018-08-18";39;;;
306;"2020-04-25";25;;"2022-07-26";147
307;"2018-12-02";89;;;
308;"2018-04-07";69;;;
309;"2020-02-07";20;;"2022-04-23";241
310;"2020-12-31";35;;;
311;"2020-11-19";51;;;
312;"2020-12-22";3;"2022-12-02";"2021-12-26";341
313;"2022-05-18";74;;;
314;"2022-08-18";69;;;
315;"2019-02-22";7;;"2022-01-07";347
316;"2021-02-24";75;;;
317;"2022-07-17";78;;;
318;"2021-08-17";96;;;
319;"2020-05-10";50;;;
320;"2019-05-31";47;;;
321;"2022-08-26";10;;"2022-05-06";228
322;"2022-01-02";85;;;
323;"2018-04-12";24;;"2022-04-16";248
324;"2019-08-04";83;;;
325;"2021-08-17";34;;;
326;"2022-11-10";5;"2022-11-13";"2022-01-28";289
327;"2019-07-09";18;;"2022-05-10";224
328;"2022-07-24";24;;"2022-07-23";150
329;"2019-02-02";98;;;
330;"2020-07-12";14;;"2021-12-27";358
331;"2021-04-19";31;;;
332;"2021-03-23";6;;"2021-12-17";368
333;"2019-04-18";16;;"2022-06-29";174
334;"2022-12-10";1;"2022-12-12";"2022-02-19";296
335;"2019-07-05";43;;;
336;"2019-11-15";48;;;
337;"2020-04-16";97;;;
338;"2020-05-17";42;;;
339;"2020-02-02";95;;;
340;"2022-05-05";15;;"2022-01-04";350
341;"2018-05-29";84;;;
342;"2022-12-03";82;;;
343;"2020-05-07";98;;;
344;"2022-09-26";58;;;
345;"2022-08-02";38;;;
346;"2021-06-11";7;;"2022-01-19";335
347;"2020-12-01";88;;;
348;"2022-02-28";80;;;
349;"2020-02-07";31;;;
350;"2018-04-23";57;;;
351;"2018-08-09";60;;;
352;"2019-10-14";14;;"2022-01-30";324
353;"2022-04-06";9;;"2021-11-29";386
354;"2018-11-01";57;;;
355;"2021-04-29";76;;;
356;"2020-12-03";27;;;
357;"2018-09-23";40;;;
358;"2022-10-18";8;;"2021-10-29";417
359;"2020-07-08";71;;;
360;"2019-10-07";24;;"2022-03-24";271
361;"2020-05-11";89;;;
362;"2018-11-06";58;;;
363;"2022-12-10";55;;;
364;"2021-08-08";98;;;
365;"2018-10-28";70;;;
366;"2019-06-25";17;;"2022-09-22";89
367;"2018-07-05";78;;;
368;"2021-01-23";78;;;
369;"2021-10-21";14;;"2022-05-28";206
370;"2020-07-19";63;;;
371;"2020-06-09";11;;"2022-08-19";123
372;"2022-03-01";10;;"2022-11-28";22
373;"2020-07-03";33;;;
374;"2022-09-26";69;;;
375;"2021-12-06";23;;"2022-06-20";183
376;"2020-02-14";77;;;
377;"2021-03-18";42;;;
378;"2019-11-19";12;;"2022-11-09";41
379;"2019-04-25";58;;;
380;"2018-05-07";87;;;
381;"2020-02-21";54;;;
382;"2019-11-14";11;;"2022-04-15";249
383;"2020-01-31";73;;;
384;"2019-06-08";69;;;
385;"2020-08-26";64;;;
386;"2018-06-10";85;;;
387;"2022-04-23";12;;"2022-07-12";161
388;"2021-04-30";35;;;
389;"2018-04-09";65;;;
390;"2019-11-10";77;;;
391;"2018-02-16";20;;"2022-10-03";78
392;"2020-07-30";75;;;
393;"2020-08-28";76;;;
394;"2018-02-06";67;;;
395;"2019-03-20";5;"2022-08-24";"2021-09-28";330
396;"2021-06-07";79;;;
397;"2019-07-13";57;;;
398;"2019-09-03";6;;"2022-01-25";329
399;"2019-07-12";84;;;
400;"2018-05-15";47;;;
401;"2022-03-04";63;;;
402;"2021-11-30";30;;;
403;"2022-06-25";50;;;
404;"2019-09-16";40;;;
405;"2021-09-07";28;;;
406;"2021-06-12";75;;;
407;"2021-10-12";90;;;
408;"2019-12-06";53;;;
409;"2018-05-12";25;;"2022-07-24";149
410;"2018-02-15";9;;"2022-02-20";303
411;"2020-03-23";65;;;
412;"2020-06-13";77;;;
413;"2019-12-11";30;;;
414;"2022-04-04";52;;;
415;"2021-11-01";57;;;
416;"2022-07-19";61;;;
417;"2022-08-25";77;;;
418;"2021-03-06";94;;;
419;"2020-11-28";68;;;
420;"2022-11-14";28;;;
421;"2018-01-26";26;;;
422;"2020-12-26";95;;;
423;"2020-06-24";75;;;
424;"2020-09-05";37;;;
425;"2021-01-13";29;;;
426;"2021-08-24";83;;;
427;"2019-02-22";27;;;
428;"2022-07-08";60;;;
429;"2018-05-08";22;;"2022-08-02";140
430;"2020-08-15";79;;;
431;"2022-11-01";94;;;
432;"2022-06-22";4;"2022-12-10";"2022-02-23";290
433;"2019-07-27";21;;"2021-12-31";354
434;"2022-05-08";49;;;
435;"2019-03-19";10;;"2022-10-24";57
436;"2018-04-15";88;;;
437;"2020-10-30";34;;;
438;"2022-12-10";54;;;
439;"2020-03-01";99;;;
440;"2021-02-21";56;;;
441;"2018-02-06";97;;;
442;"2022-05-05";83;;;
443;"2018-08-17";29;;;
444;"2019-12-30";98;;;
445;"2021-08-19";11;;"2022-04-18";246
446;"2022-05-31";17;;"2022-01-19";335
447;"2019-07-29";91;;;
448;"2021-04-25";29;;;
449;"2020-08-15";20;;"2022-09-15";96
450;"2022-06-07";8;;"2022-04-26";238
451;"2021-03-20";33;;;
452;"2020-08-23";19;;"2022-08-21";121
453;"2020-06-14";75;;;
454;"2018-09-24";26;;;
455;"2018-05-10";43;;;
456;"2018-07-09";21;;"2022-06-21";182
457;"2022-04-29";75;;;
458;"2019-06-13";8;;"2021-12-23";362
459;"2018-01-26";34;;;
460;"2022-08-17";77;;;
461;"2022-01-07";42;;;
462;"2022-11-09";62;;;
463;"2022-02-17";9;;"2022-02-06";317
464;"2018-08-15";65;;;
465;"2022-03-29";67;;;
466;"2018-05-18";37;;;
467;"2018-11-10";60;;;
468;"2020-02-07";22;;"2022-07-07";166
469;"2018-05-08";66;;;
470;"2020-12-22";97;;;
471;"2018-04-12";48;;;
472;"2018-05-27";17;;"2022-05-11";223
473;"2020-05-07";50;;;
474;"2018-11-08";30;;;
475;"2020-05-06";36;;;
476;"2019-01-06";56;;;
477;"2018-04-19";25;;"2022-06-01";202
478;"2021-11-14";89;;;
479;"2022-04-12";15;;"2022-03-11";284
480;"2020-11-14";11;;"2022-03-26";269
481;"2021-05-03";32;;;
482;"2020-07-11";4;"2022-07-25";"2021-10-14";284
483;"2018-07-19";1;"2022-12-09";"2022-06-02";190
484;"2018-10-27";68;;;
485;"2021-03-16";87;;;
486;"2018-11-08";74;;;
487;"2019-04-17";50;;;
488;"2020-07-25";18;;"2022-09-10";101
489;"2020-04-01";90;;;
490;"2019-04-24";51;;;
491;"2020-03-22";80;;;
492;"2019-04-21";53;;;
493;"2019-03-15";48;;;
494;"2019-05-22";88;;;
495;"2019-11-16";95;;;
496;"2018-06-22";15;;"2022-08-07";135
497;"2019-09-18";16;;"2022-07-14";159
498;"2020-09-06";84;;;
499;"2020-07-10";25;;"2021-10-30";416
500;"2020-01-06";6;;"2022-03-14";281
501;"2018-09-09";24;;"2021-12-03";382
502;"2020-10-02";14;;"2022-06-29";174
503;"2020-05-13";51;;;
504;"2020-12-27";22;;"2022-06-08";195
505;"2021-07-22";70;;;
506;"2022-08-30";35;;;
507;"2021-12-14";63;;;
508;"2021-10-20";97;;;
509;"2021-07-25";40;;;
510;"2021-04-06";57;;;
511;"2019-09-16";97;;;
512;"2019-12-08";3;"2022-12-17";"2022-01-26";325
513;"2018-10-28";9;;"2022-06-03";200
514;"2020-03-15";32;;;
515;"2020-09-14";38;;;
516;"2021-12-24";89;;;
517;"2021-01-02";96;;;
518;"2021-12-12";2;"2022-12-18";"2022-05-04";228
519;"2019-07-30";71;;;
520;"2018-04-16";61;;;
521;"2018-04-17";33;;;
522;"2021-10-01";51;;;
523;"2019-07-18";11;;"2022-06-02";201
524;"2019-06-11";88;;;
525;"2018-03-03";30;;;
526;"2021-05-14";64;;;
527;"2019-11-12";99;;;
528;"2019-10-31";58;;;
529;"2019-01-30";97;;;
530;"2022-05-04";77;;;
531;"2021-10-17";75;;;
532;"2019-09-21";68;;;
533;"2020-02-15";75;;;
534;"2019-03-12";48;;;
535;"2022-08-30";57;;;
536;"2018-09-17";77;;;
537;"2018-11-20";53;;;
538;"2021-08-24";37;;;
539;"2022-06-19";15;;"2022-01-21";333
540;"2022-05-27";45;;;
541;"2019-12-11";43;;;
542;"2019-03-16";16;;"2022-10-28";53
543;"2019-05-15";48;;;
544;"2020-09-18";9;;"2022-06-01";202
545;"2021-05-11";83;;;
546;"2022-01-09";16;;"2022-02-15";308
547;"2019-09-23";11;;"2022-10-07";74
548;"2019-05-26";67;;;
549;"2021-01-01";94;;;
550;"2021-04-03";61;;;
551;"2019-08-21";31;;;
552;"2021-03-30";77;;;
553;"2020-01-14";57;;;
554;"2021-02-17";72;;;
555;"2022-08-20";77;;;
556;"2020-02-27";63;;;
557;"2019-07-13";36;;;
558;"2019-07-14";97;;;
559;"2021-12-08";71;;;
560;"2020-07-24";59;;;
561;"2018-11-26";40;;;
562;"2020-10-06";98;;;
563;"2022-03-27";49;;;
564;"2020-12-22";55;;;
565;"2021-11-27";60;;;
566;"2021-12-05";7;;"2021-11-15";400
567;"2021-08-21";84;;;
568;"2022-09-28";52;;;
569;"2020-08-09";20;;"2022-01-04";350
570;"2021-02-18";9;;"2022-02-17";306
571;"2022-03-05";45;;;
572;"2022-07-01";70;;;
573;"2022-04-16";11;;"2022-03-27";268
574;"2018-07-30";97;;;
575;"2020-03-31";95;;;
576;"2020-09-05";38;;;
577;"2022-07-20";61;;;
578;"2021-12-04";88;;;
579;"2022-01-11";10;;"2022-11-01";49
580;"2020-08-02";5;"2022-08-22";"2021-11-10";285
581;"2020-03-18";56;;;
582;"2018-09-13";78;;;
583;"2018-11-12";68;;;
584;"2022-03-14";24;;"2022-08-08";134
585;"2021-10-12";62;;;
586;"2018-07-13";37;;;
587;"2019-05-22";62;;;
588;"2018-05-05";69;;;
589;"2020-01-05";95;;;
590;"2018-05-11";89;;;
591;"2020-11-08";26;;;
592;"2020-11-12";29;;;
593;"2021-01-26";91;;;
594;"2020-02-14";59;;;
595;"2018-11-15";3;"2022-11-23";"2022-02-23";273
596;"2020-01-04";88;;;
597;"2019-01-30";60;;;
598;"2022-06-17";83;;;
599;"2019-10-14";97;;;
600;"2021-08-21";45;;;
601;"2020-08-17";52;;;
602;"2018-12-29";70;;;
603;"2021-03-02";87;;;
604;"2019-12-13";48;;;
605;"2019-07-09";13;;"2022-01-23";331
606;"2018-06-13";94;;;
607;"2022-07-31";26;;;
608;"2019-02-07";40;;;
609;"2022-04-28";82;;;
610;"2021-08-23";2;"2022-10-29";"2022-03-08";235
611;"2021-08-22";98;;;
612;"2019-07-27";87;;;
613;"2022-04-17";77;;;
614;"2022-06-15";96;;;
615;"2018-10-20";93;;;
616;"2021-02-07";41;;;
617;"2022-12-08";1;"2022-11-08";"2021-12-08";335
618;"2020-02-21";48;;;
619;"2021-05-25";98;;;
620;"2019-12-25";59;;;
621;"2020-06-12";52;;;
622;"2019-04-14";79;;;
623;"2022-10-18";69;;;
624;"2018-07-20";35;;;
625;"2021-05-09";95;;;
626;"2018-09-14";68;;;
627;"2020-07-05";53;;;
628;"2022-05-20";67;;;
629;"2018-03-13";46;;;
630;"2022-03-31";32;;;
631;"2021-01-19";31;;;
632;"2020-10-09";94;;;
633;"2018-04-09";81;;;
634;"2019-04-03";39;;;
635;"2022-09-03";78;;;
636;"2019-09-28";73;;;
637;"2019-08-27";82;;;
638;"2022-04-15";23;;"2022-10-18";63
639;"2020-10-17";57;;;
640;"2019-01-04";11;;"2021-12-07";378
641;"2020-12-17";1;"2022-08-27";"2021-12-19";251
642;"2019-06-20";67;;;
643;"2020-07-11";86;;;
644;"2020-04-14";46;;;
645;"2018-12-15";88;;;
646;"2021-04-12";75;;;
647;"2018-06-04";23;;"2021-12-22";363
648;"2018-12-03";3;"2022-07-28";"2021-09-01";330
649;"2018-06-14";76;;;
650;"2021-10-08";65;;;
651;"2020-11-07";48;;;
652;"2020-11-05";44;;;
653;"2018-01-31";37;;;
654;"2020-09-06";28;;;
655;"2021-05-07";55;;;
656;"2021-05-22";66;;;
657;"2021-05-03";19;;"2022-01-17";337
658;"2018-11-22";64;;;
659;"2020-10-21";69;;;
660;"2021-06-25";8;;"2022-08-27";115
661;"2018-03-03";26;;;
662;"2018-11-22";30;;;
663;"2019-04-16";85;;;
664;"2018-05-22";48;;;
665;"2020-02-04";35;;;
666;"2018-12-29";67;;;
667;"2020-01-30";2;"2022-12-13";"2022-04-17";240
668;"2021-09-12";30;;;
669;"2018-04-25";88;;;
670;"2022-10-28";97;;;
671;"2022-08-28";52;;;
672;"2021-03-24";90;;;
673;"2019-04-29";83;;;
674;"2020-03-20";21;;"2022-02-07";316
675;"2018-07-19";48;;;
676;"2020-03-24";77;;;
677;"2018-07-12";38;;;
678;"2018-12-02";84;;;
679;"2021-02-05";14;;"2022-01-11";343
680;"2018-12-05";81;;;
681;"2022-08-22";82;;;
682;"2018-12-26";32;;;
683;"2021-09-22";17;;"2022-06-11";192
684;"2022-09-03";14;;"2021-11-04";411
685;"2021-08-14";64;;;
686;"2020-02-09";14;;"2022-01-20";334
687;"2021-02-03";35;;;
688;"2019-12-27";54;;;
689;"2020-12-12";54;;;
690;"2018-12-07";61;;;
691;"2018-07-02";94;;;
692;"2021-01-24";78;;;
693;"2019-10-10";64;;;
694;"2019-09-27";89;;;
695;"2021-05-28";42;;;
696;"2021-10-25";94;;;
697;"2020-09-06";90;;;
698;"2018-07-08";98;;;
699;"2020-07-19";45;;;
700;"2020-12-12";68;;;
701;"2018-05-17";11;;"2022-06-17";186
702;"2020-03-27";45;;;
703;"2019-03-17";98;;;
704;"2019-08-25";7;;"2021-12-11";374
705;"2022-05-27";98;;;
706;"2019-09-14";34;;;
707;"2021-10-28";32;;;
708;"2022-11-17";36;;;
709;"2020-07-28";61;;;
710;"2019-12-16";94;;;
711;"2018-11-03";31;;;
712;"2020-03-30";70;;;
713;"2020-11-21";89;;;
714;"2022-07-08";27;;;
715;"2019-12-14";80;;;
716;"2019-07-18";73;;;
717;"2019-08-28";81;;;
718;"2018-01-29";23;;"2022-08-07";135
719;"2021-06-24";52;;;
720;"2022-07-21";31;;;
721;"2018-12-17";32;;;
722;"2021-12-06";8;;"2022-06-20";183
723;"2020-08-26";29;;;
724;"2020-09-06";21;;"2022-06-02";201
725;"2018-09-14";52;;;
726;"2019-02-02";18;;"2021-10-31";415
727;"2019-07-14";33;;;
728;"2021-05-03";56;;;
729;"2019-07-23";45;;;
730;"2022-01-11";37;;;
731;"2019-04-26";55;;;
732;"2019-11-18";36;;;
733;"2019-04-19";12;;"2022-10-08";73
734;"2020-06-22";88;;;
735;"2021-06-23";25;;"2021-11-07";408
736;"2018-09-25";68;;;
737;"2022-02-16";88;;;
738;"2020-05-02";47;;;
739;"2018-08-24";41;;;
740;"2019-09-25";54;;;
741;"2022-03-29";55;;;
742;"2019-06-08";31;;;
743;"2021-12-05";1;"2022-08-27";"2021-12-18";252
744;"2020-03-01";38;;;
745;"2018-12-25";95;;;
746;"2018-11-29";39;;;
747;"2021-08-28";9;;"2021-10-29";417
748;"2020-08-02";96;;;
749;"2018-12-10";24;;"2022-07-21";152
750;"2020-03-02";91;;;
751;"2020-03-04";25;;"2022-03-25";270
752;"2019-11-07";61;;;
753;"2019-02-18";20;;"2022-06-20";183
754;"2022-10-11";74;;;
755;"2022-06-25";74;;;
756;"2019-10-14";4;"2022-10-05";"2022-02-20";227
757;"2018-11-25";41;;;
758;"2019-01-18";22;;"2021-12-01";384
759;"2018-02-25";4;"2022-10-10";"2021-12-20";294
760;"2020-05-28";2;"2022-10-15";"2022-04-14";184
761;"2018-02-10";26;;;
762;"2019-06-03";39;;;
763;"2022-03-28";52;;;
764;"2019-05-11";97;;;
765;"2021-11-04";25;;"2022-07-19";154
766;"2020-09-29";40;;;
767;"2020-01-16";12;;"2022-07-22";151
768;"2021-01-01";96;;;
769;"2018-02-11";85;;;
770;"2020-08-20";86;;;
771;"2022-09-08";45;;;
772;"2022-04-21";29;;;
773;"2022-01-07";70;;;
774;"2021-08-24";50;;;
775;"2019-07-02";95;;;
776;"2022-12-14";50;;;
777;"2022-07-05";91;;;
778;"2018-03-11";97;;;
779;"2020-07-28";19;;"2022-11-21";29
780;"2018-06-25";55;;;
781;"2020-04-22";68;;;
782;"2022-09-11";5;"2022-12-14";"2022-02-23";294
783;"2020-04-12";50;;;
784;"2021-05-23";86;;;
785;"2022-07-04";28;;;
786;"2019-10-18";60;;;
787;"2018-03-17";79;;;
788;"2018-06-09";50;;;
789;"2020-10-17";45;;;
790;"2018-04-24";4;"2022-07-29";"2021-09-10";322
791;"2020-10-16";95;;;
792;"2020-11-08";77;;;
793;"2019-09-06";17;;"2021-12-01";384
794;"2020-01-23";72;;;
795;"2022-03-01";59;;;
796;"2018-07-23";65;;;
797;"2022-10-04";3;"2022-11-26";"2022-02-24";275
798;"2019-03-28";89;;;
799;"2021-07-05";80;;;
800;"2022-10-28";13;;"2021-10-27";419
801;"2021-10-27";44;;;
802;"2021-03-25";28;;;
803;"2022-02-27";32;;;
804;"2020-11-15";84;;;
805;"2019-11-28";28;;;
806;"2018-09-10";88;;;
807;"2020-11-09";99;;;
