"id";"tipo";"data_criacao";"id_associado"
199;Conta Corrente;"2019-05-21";199
200;Conta Corrente;"2021-03-12";200
201;Conta Corrente;"2021-06-01";201
202;Conta Corrente;"2021-08-23";202
203;Conta Corrente;"2022-11-01";203
204;Conta Corrente;"2020-12-06";204
205;Conta Corrente;"2019-12-09";205
206;Conta Corrente;"2018-11-26";206
207;Conta Corrente;"2021-01-17";207
208;Conta Corrente;"2021-10-13";208
209;Conta Corrente;"2021-07-20";209
210;Conta Corrente;"2021-09-24";210
211;Conta Corrente;"2018-08-16";211
212;Conta Corrente;"2020-07-07";212
213;Conta Corrente;"2020-07-04";213
214;Conta Corrente;"2019-06-30";214
215;Conta Corrente;"2021-08-25";215
216;Conta Corrente;"2019-06-30";216
217;Conta Corrente;"2020-12-10";217
218;Conta Corrente;"2018-04-16";218
219;Conta Corrente;"2019-12-23";219
220;Conta Corrente;"2022-10-07";220
221;Conta Corrente;"2019-02-11";221
222;Conta Corrente;"2019-03-05";222
223;Conta Corrente;"2021-01-24";223
224;Conta Corrente;"2022-01-03";224
225;Conta Corrente;"2020-02-25";225
226;Conta Corrente;"2021-02-02";226
227;Conta Corrente;"2021-10-03";227
228;Conta Corrente;"2022-02-11";228
229;Conta Corrente;"2020-01-20";229
230;Conta Corrente;"2018-03-05";230
231;Conta Corrente;"2020-05-04";231
232;Conta Corrente;"2018-07-03";232
233;Conta Corrente;"2021-10-07";233
234;Conta Corrente;"2020-03-16";234
235;Conta Corrente;"2021-05-20";235
236;Conta Corrente;"2018-09-27";236
237;Conta Corrente;"2021-01-21";237
238;Conta Corrente;"2019-06-19";238
239;Conta Corrente;"2022-06-21";239
240;Conta Corrente;"2019-08-23";240
241;Conta Corrente;"2018-03-25";241
242;Conta Corrente;"2018-02-16";242
243;Conta Corrente;"2022-02-09";243
244;Conta Corrente;"2020-09-07";244
245;Conta Corrente;"2019-07-28";245
246;Conta Corrente;"2020-10-16";246
247;Conta Corrente;"2022-02-17";247
248;Conta Corrente;"2022-06-18";248
249;Conta Corrente;"2021-01-11";249
250;Conta Corrente;"2019-02-20";250
251;Conta Corrente;"2022-04-06";251
252;Conta Corrente;"2022-02-04";252
253;Conta Corrente;"2020-04-06";253
254;Conta Corrente;"2020-05-12";254
255;Conta Corrente;"2021-02-19";255
256;Conta Corrente;"2022-05-13";256
257;Conta Corrente;"2018-06-27";257
258;Conta Corrente;"2019-12-04";258
259;Conta Corrente;"2021-07-05";259
260;Conta Corrente;"2020-06-28";260
261;Conta Corrente;"2020-01-18";261
262;Conta Corrente;"2018-11-18";262
263;Conta Corrente;"2020-12-10";263
264;Conta Corrente;"2018-11-05";264
265;Conta Corrente;"2021-01-14";265
266;Conta Corrente;"2019-05-12";266
267;Conta Corrente;"2019-07-15";267
268;Conta Corrente;"2019-02-17";268
269;Conta Corrente;"2020-10-09";269
270;Conta Corrente;"2019-01-14";270
271;Conta Corrente;"2020-09-21";271
272;Conta Corrente;"2020-12-14";272
273;Conta Corrente;"2019-02-11";273
274;Conta Corrente;"2019-11-12";274
275;Conta Corrente;"2018-09-03";275
276;Conta Corrente;"2020-08-20";276
277;Conta Corrente;"2022-08-09";277
278;Conta Corrente;"2022-10-02";278
279;Conta Corrente;"2020-02-18";279
280;Conta Corrente;"2020-09-01";280
281;Conta Corrente;"2018-12-04";281
282;Conta Corrente;"2019-06-06";282
283;Conta Corrente;"2019-10-18";283
284;Conta Corrente;"2021-02-19";284
285;Conta Corrente;"2021-09-27";285
286;Conta Corrente;"2022-11-18";286
287;Conta Corrente;"2020-07-13";287
288;Conta Corrente;"2022-03-05";288
289;Conta Corrente;"2019-11-02";289
290;Conta Corrente;"2019-01-28";290
291;Conta Corrente;"2019-09-12";291
292;Conta Corrente;"2021-11-01";292
293;Conta Corrente;"2019-11-28";293
294;Conta Corrente;"2022-08-04";294
295;Conta Corrente;"2022-08-18";295
296;Conta Corrente;"2022-11-24";296
297;Conta Corrente;"2018-12-25";297
298;Conta Corrente;"2019-03-14";298
299;Conta Corrente;"2019-01-22";299
300;Conta Corrente;"2021-09-15";300
301;Conta Corrente;"2020-03-08";301
302;Conta Corrente;"2021-09-25";302
303;Conta Corrente;"2019-09-10";303
304;Conta Corrente;"2021-04-01";304
305;Conta Corrente;"2018-08-18";305
306;Conta Corrente;"2020-04-25";306
307;Conta Corrente;"2018-12-02";307
308;Conta Corrente;"2018-04-07";308
309;Conta Corrente;"2020-02-07";309
310;Conta Corrente;"2020-12-31";310
311;Conta Corrente;"2020-11-19";311
312;Conta Corrente;"2020-12-22";312
313;Conta Corrente;"2022-05-18";313
314;Conta Corrente;"2022-08-18";314
315;Conta Corrente;"2019-02-22";315
316;Conta Corrente;"2021-02-24";316
317;Conta Corrente;"2022-07-17";317
318;Conta Corrente;"2021-08-17";318
319;Conta Corrente;"2020-05-10";319
320;Conta Corrente;"2019-05-31";320
321;Conta Corrente;"2022-08-26";321
322;Conta Corrente;"2022-01-02";322
323;Conta Corrente;"2018-04-12";323
324;Conta Corrente;"2019-08-04";324
325;Conta Corrente;"2021-08-17";325
326;Conta Corrente;"2022-11-10";326
327;Conta Corrente;"2019-07-09";327
328;Conta Corrente;"2022-07-24";328
329;Conta Corrente;"2019-02-02";329
330;Conta Corrente;"2020-07-12";330
331;Conta Corrente;"2021-04-19";331
332;Conta Corrente;"2021-03-23";332
333;Conta Corrente;"2019-04-18";333
334;Conta Corrente;"2022-12-10";334
335;Conta Corrente;"2019-07-05";335
336;Conta Corrente;"2019-11-15";336
337;Conta Corrente;"2020-04-16";337
338;Conta Corrente;"2020-05-17";338
339;Conta Corrente;"2020-02-02";339
340;Conta Corrente;"2022-05-05";340
341;Conta Corrente;"2018-05-29";341
342;Conta Corrente;"2022-12-03";342
343;Conta Corrente;"2020-05-07";343
344;Conta Corrente;"2022-09-26";344
345;Conta Corrente;"2022-08-02";345
346;Conta Corrente;"2021-06-11";346
347;Conta Corrente;"2020-12-01";347
348;Conta Corrente;"2022-02-28";348
349;Conta Corrente;"2020-02-07";349
350;Conta Corrente;"2018-04-23";350
351;Conta Corrente;"2018-08-09";351
352;Conta Corrente;"2019-10-14";352
353;Conta Corrente;"2022-04-06";353
354;Conta Corrente;"2018-11-01";354
355;Conta Corrente;"2021-04-29";355
356;Conta Corrente;"2020-12-03";356
357;Conta Corrente;"2018-09-23";357
358;Conta Corrente;"2022-10-18";358
359;Conta Corrente;"2020-07-08";359
360;Conta Corrente;"2019-10-07";360
361;Conta Corrente;"2020-05-11";361
362;Conta Corrente;"2018-11-06";362
363;Conta Corrente;"2022-12-10";363
364;Conta Corrente;"2021-08-08";364
365;Conta Corrente;"2018-10-28";365
366;Conta Corrente;"2019-06-25";366
367;Conta Corrente;"2018-07-05";367
368;Conta Corrente;"2021-01-23";368
369;Conta Corrente;"2021-10-21";369
370;Conta Corrente;"2020-07-19";370
371;Conta Corrente;"2020-06-09";371
372;Conta Corrente;"2022-03-01";372
373;Conta Corrente;"2020-07-03";373
374;Conta Corrente;"2022-09-26";374
375;Conta Corrente;"2021-12-06";375
376;Conta Corrente;"2020-02-14";376
377;Conta Corrente;"2021-03-18";377
378;Conta Corrente;"2019-11-19";378
379;Conta Corrente;"2019-04-25";379
380;Conta Corrente;"2018-05-07";380
381;Conta Corrente;"2020-02-21";381
382;Conta Corrente;"2019-11-14";382
383;Conta Corrente;"2020-01-31";383
384;Conta Corrente;"2019-06-08";384
385;Conta Corrente;"2020-08-26";385
386;Conta Corrente;"2018-06-10";386
387;Conta Corrente;"2022-04-23";387
388;Conta Corrente;"2021-04-30";388
389;Conta Corrente;"2018-04-09";389
390;Conta Corrente;"2019-11-10";390
391;Conta Corrente;"2018-02-16";391
392;Conta Corrente;"2020-07-30";392
393;Conta Corrente;"2020-08-28";393
394;Conta Corrente;"2018-02-06";394
395;Conta Corrente;"2019-03-20";395
396;Conta Corrente;"2021-06-07";396
397;Conta Corrente;"2019-07-13";397
398;Conta Corrente;"2019-09-03";398
399;Conta Corrente;"2019-07-12";399
400;Conta Corrente;"2018-05-15";400
401;Conta Corrente;"2022-03-04";401
402;Conta Corrente;"2021-11-30";402
403;Conta Corrente;"2022-06-25";403
404;Conta Corrente;"2019-09-16";404
405;Conta Corrente;"2021-09-07";405
406;Conta Corrente;"2021-06-12";406
407;Conta Corrente;"2021-10-12";407
408;Conta Corrente;"2019-12-06";408
409;Conta Corrente;"2018-05-12";409
410;Conta Corrente;"2018-02-15";410
411;Conta Corrente;"2020-03-23";411
412;Conta Corrente;"2020-06-13";412
413;Conta Corrente;"2019-12-11";413
414;Conta Corrente;"2022-04-04";414
415;Conta Corrente;"2021-11-01";415
416;Conta Corrente;"2022-07-19";416
417;Conta Corrente;"2022-08-25";417
418;Conta Corrente;"2021-03-06";418
419;Conta Corrente;"2020-11-28";419
420;Conta Corrente;"2022-11-14";420
421;Conta Corrente;"2018-01-26";421
422;Conta Corrente;"2020-12-26";422
423;Conta Corrente;"2020-06-24";423
424;Conta Corrente;"2020-09-05";424
425;Conta Corrente;"2021-01-13";425
426;Conta Corrente;"2021-08-24";426
427;Conta Corrente;"2019-02-22";427
428;Conta Corrente;"2022-07-08";428
429;Conta Corrente;"2018-05-08";429
430;Conta Corrente;"2020-08-15";430
431;Conta Corrente;"2022-11-01";431
432;Conta Corrente;"2022-06-22";432
433;Conta Corrente;"2019-07-27";433
434;Conta Corrente;"2022-05-08";434
435;Conta Corrente;"2019-03-19";435
436;Conta Corrente;"2018-04-15";436
437;Conta Corrente;"2020-10-30";437
438;Conta Corrente;"2022-12-10";438
439;Conta Corrente;"2020-03-01";439
440;Conta Corrente;"2021-02-21";440
441;Conta Corrente;"2018-02-06";441
442;Conta Corrente;"2022-05-05";442
443;Conta Corrente;"2018-08-17";443
444;Conta Corrente;"2019-12-30";444
445;Conta Corrente;"2021-08-19";445
446;Conta Corrente;"2022-05-31";446
447;Conta Corrente;"2019-07-29";447
448;Conta Corrente;"2021-04-25";448
449;Conta Corrente;"2020-08-15";449
450;Conta Corrente;"2022-06-07";450
451;Conta Corrente;"2021-03-20";451
452;Conta Corrente;"2020-08-23";452
453;Conta Corrente;"2020-06-14";453
454;Conta Corrente;"2018-09-24";454
455;Conta Corrente;"2018-05-10";455
456;Conta Corrente;"2018-07-09";456
457;Conta Corrente;"2022-04-29";457
458;Conta Corrente;"2019-06-13";458
459;Conta Corrente;"2018-01-26";459
460;Conta Corrente;"2022-08-17";460
461;Conta Corrente;"2022-01-07";461
462;Conta Corrente;"2022-11-09";462
463;Conta Corrente;"2022-02-17";463
464;Conta Corrente;"2018-08-15";464
465;Conta Corrente;"2022-03-29";465
466;Conta Corrente;"2018-05-18";466
467;Conta Corrente;"2018-11-10";467
468;Conta Corrente;"2020-02-07";468
469;Conta Corrente;"2018-05-08";469
470;Conta Corrente;"2020-12-22";470
471;Conta Corrente;"2018-04-12";471
472;Conta Corrente;"2018-05-27";472
473;Conta Corrente;"2020-05-07";473
474;Conta Corrente;"2018-11-08";474
475;Conta Corrente;"2020-05-06";475
476;Conta Corrente;"2019-01-06";476
477;Conta Corrente;"2018-04-19";477
478;Conta Corrente;"2021-11-14";478
479;Conta Corrente;"2022-04-12";479
480;Conta Corrente;"2020-11-14";480
481;Conta Corrente;"2021-05-03";481
482;Conta Corrente;"2020-07-11";482
483;Conta Corrente;"2018-07-19";483
484;Conta Corrente;"2018-10-27";484
485;Conta Corrente;"2021-03-16";485
486;Conta Corrente;"2018-11-08";486
487;Conta Corrente;"2019-04-17";487
488;Conta Corrente;"2020-07-25";488
489;Conta Corrente;"2020-04-01";489
490;Conta Corrente;"2019-04-24";490
491;Conta Corrente;"2020-03-22";491
492;Conta Corrente;"2019-04-21";492
493;Conta Corrente;"2019-03-15";493
494;Conta Corrente;"2019-05-22";494
495;Conta Corrente;"2019-11-16";495
496;Conta Corrente;"2018-06-22";496
497;Conta Corrente;"2019-09-18";497
498;Conta Corrente;"2020-09-06";498
499;Conta Corrente;"2020-07-10";499
500;Conta Corrente;"2020-01-06";500
501;Conta Corrente;"2018-09-09";501
502;Conta Corrente;"2020-10-02";502
503;Conta Corrente;"2020-05-13";503
504;Conta Corrente;"2020-12-27";504
505;Conta Corrente;"2021-07-22";505
506;Conta Corrente;"2022-08-30";506
507;Conta Corrente;"2021-12-14";507
508;Conta Corrente;"2021-10-20";508
509;Conta Corrente;"2021-07-25";509
510;Conta Corrente;"2021-04-06";510
511;Conta Corrente;"2019-09-16";511
512;Conta Corrente;"2019-12-08";512
513;Conta Corrente;"2018-10-28";513
514;Conta Corrente;"2020-03-15";514
515;Conta Corrente;"2020-09-14";515
516;Conta Corrente;"2021-12-24";516
517;Conta Corrente;"2021-01-02";517
518;Conta Corrente;"2021-12-12";518
519;Conta Corrente;"2019-07-30";519
520;Conta Corrente;"2018-04-16";520
521;Conta Corrente;"2018-04-17";521
522;Conta Corrente;"2021-10-01";522
523;Conta Corrente;"2019-07-18";523
524;Conta Corrente;"2019-06-11";524
525;Conta Corrente;"2018-03-03";525
526;Conta Corrente;"2021-05-14";526
527;Conta Corrente;"2019-11-12";527
528;Conta Corrente;"2019-10-31";528
529;Conta Corrente;"2019-01-30";529
530;Conta Corrente;"2022-05-04";530
531;Conta Corrente;"2021-10-17";531
532;Conta Corrente;"2019-09-21";532
533;Conta Corrente;"2020-02-15";533
534;Conta Corrente;"2019-03-12";534
535;Conta Corrente;"2022-08-30";535
536;Conta Corrente;"2018-09-17";536
537;Conta Corrente;"2018-11-20";537
538;Conta Corrente;"2021-08-24";538
539;Conta Corrente;"2022-06-19";539
540;Conta Corrente;"2022-05-27";540
541;Conta Corrente;"2019-12-11";541
542;Conta Corrente;"2019-03-16";542
543;Conta Corrente;"2019-05-15";543
544;Conta Corrente;"2020-09-18";544
545;Conta Corrente;"2021-05-11";545
546;Conta Corrente;"2022-01-09";546
547;Conta Corrente;"2019-09-23";547
548;Conta Corrente;"2019-05-26";548
549;Conta Corrente;"2021-01-01";549
550;Conta Corrente;"2021-04-03";550
551;Conta Corrente;"2019-08-21";551
552;Conta Corrente;"2021-03-30";552
553;Conta Corrente;"2020-01-14";553
554;Conta Corrente;"2021-02-17";554
555;Conta Corrente;"2022-08-20";555
556;Conta Corrente;"2020-02-27";556
557;Conta Corrente;"2019-07-13";557
558;Conta Corrente;"2019-07-14";558
559;Conta Corrente;"2021-12-08";559
560;Conta Corrente;"2020-07-24";560
561;Conta Corrente;"2018-11-26";561
562;Conta Corrente;"2020-10-06";562
563;Conta Corrente;"2022-03-27";563
564;Conta Corrente;"2020-12-22";564
565;Conta Corrente;"2021-11-27";565
566;Conta Corrente;"2021-12-05";566
567;Conta Corrente;"2021-08-21";567
568;Conta Corrente;"2022-09-28";568
569;Conta Corrente;"2020-08-09";569
570;Conta Corrente;"2021-02-18";570
571;Conta Corrente;"2022-03-05";571
572;Conta Corrente;"2022-07-01";572
573;Conta Corrente;"2022-04-16";573
574;Conta Corrente;"2018-07-30";574
575;Conta Corrente;"2020-03-31";575
576;Conta Corrente;"2020-09-05";576
577;Conta Corrente;"2022-07-20";577
578;Conta Corrente;"2021-12-04";578
579;Conta Corrente;"2022-01-11";579
580;Conta Corrente;"2020-08-02";580
581;Conta Corrente;"2020-03-18";581
582;Conta Corrente;"2018-09-13";582
583;Conta Corrente;"2018-11-12";583
584;Conta Corrente;"2022-03-14";584
585;Conta Corrente;"2021-10-12";585
586;Conta Corrente;"2018-07-13";586
587;Conta Corrente;"2019-05-22";587
588;Conta Corrente;"2018-05-05";588
589;Conta Corrente;"2020-01-05";589
590;Conta Corrente;"2018-05-11";590
591;Conta Corrente;"2020-11-08";591
592;Conta Corrente;"2020-11-12";592
593;Conta Corrente;"2021-01-26";593
594;Conta Corrente;"2020-02-14";594
595;Conta Corrente;"2018-11-15";595
596;Conta Corrente;"2020-01-04";596
597;Conta Corrente;"2019-01-30";597
598;Conta Corrente;"2022-06-17";598
599;Conta Corrente;"2019-10-14";599
600;Conta Corrente;"2021-08-21";600
601;Conta Corrente;"2020-08-17";601
602;Conta Corrente;"2018-12-29";602
603;Conta Corrente;"2021-03-02";603
604;Conta Corrente;"2019-12-13";604
605;Conta Corrente;"2019-07-09";605
606;Conta Corrente;"2018-06-13";606
607;Conta Corrente;"2022-07-31";607
608;Conta Corrente;"2019-02-07";608
609;Conta Corrente;"2022-04-28";609
610;Conta Corrente;"2021-08-23";610
611;Conta Corrente;"2021-08-22";611
612;Conta Corrente;"2019-07-27";612
613;Conta Corrente;"2022-04-17";613
614;Conta Corrente;"2022-06-15";614
615;Conta Corrente;"2018-10-20";615
616;Conta Corrente;"2021-02-07";616
617;Conta Corrente;"2022-12-08";617
618;Conta Corrente;"2020-02-21";618
619;Conta Corrente;"2021-05-25";619
620;Conta Corrente;"2019-12-25";620
621;Conta Corrente;"2020-06-12";621
622;Conta Corrente;"2019-04-14";622
623;Conta Corrente;"2022-10-18";623
624;Conta Corrente;"2018-07-20";624
625;Conta Corrente;"2021-05-09";625
626;Conta Corrente;"2018-09-14";626
627;Conta Corrente;"2020-07-05";627
628;Conta Corrente;"2022-05-20";628
629;Conta Corrente;"2018-03-13";629
630;Conta Corrente;"2022-03-31";630
631;Conta Corrente;"2021-01-19";631
632;Conta Corrente;"2020-10-09";632
633;Conta Corrente;"2018-04-09";633
634;Conta Corrente;"2019-04-03";634
635;Conta Corrente;"2022-09-03";635
636;Conta Corrente;"2019-09-28";636
637;Conta Corrente;"2019-08-27";637
638;Conta Corrente;"2022-04-15";638
639;Conta Corrente;"2020-10-17";639
640;Conta Corrente;"2019-01-04";640
641;Conta Corrente;"2020-12-17";641
642;Conta Corrente;"2019-06-20";642
643;Conta Corrente;"2020-07-11";643
644;Conta Corrente;"2020-04-14";644
645;Conta Corrente;"2018-12-15";645
646;Conta Corrente;"2021-04-12";646
647;Conta Corrente;"2018-06-04";647
648;Conta Corrente;"2018-12-03";648
649;Conta Corrente;"2018-06-14";649
650;Conta Corrente;"2021-10-08";650
651;Conta Corrente;"2020-11-07";651
652;Conta Corrente;"2020-11-05";652
653;Conta Corrente;"2018-01-31";653
654;Conta Corrente;"2020-09-06";654
655;Conta Corrente;"2021-05-07";655
656;Conta Corrente;"2021-05-22";656
657;Conta Corrente;"2021-05-03";657
658;Conta Corrente;"2018-11-22";658
659;Conta Corrente;"2020-10-21";659
660;Conta Corrente;"2021-06-25";660
661;Conta Corrente;"2018-03-03";661
662;Conta Corrente;"2018-11-22";662
663;Conta Corrente;"2019-04-16";663
664;Conta Corrente;"2018-05-22";664
665;Conta Corrente;"2020-02-04";665
666;Conta Corrente;"2018-12-29";666
667;Conta Corrente;"2020-01-30";667
668;Conta Corrente;"2021-09-12";668
669;Conta Corrente;"2018-04-25";669
670;Conta Corrente;"2022-10-28";670
671;Conta Corrente;"2022-08-28";671
672;Conta Corrente;"2021-03-24";672
673;Conta Corrente;"2019-04-29";673
674;Conta Corrente;"2020-03-20";674
675;Conta Corrente;"2018-07-19";675
676;Conta Corrente;"2020-03-24";676
677;Conta Corrente;"2018-07-12";677
678;Conta Corrente;"2018-12-02";678
679;Conta Corrente;"2021-02-05";679
680;Conta Corrente;"2018-12-05";680
681;Conta Corrente;"2022-08-22";681
682;Conta Corrente;"2018-12-26";682
683;Conta Corrente;"2021-09-22";683
684;Conta Corrente;"2022-09-03";684
685;Conta Corrente;"2021-08-14";685
686;Conta Corrente;"2020-02-09";686
687;Conta Corrente;"2021-02-03";687
688;Conta Corrente;"2019-12-27";688
689;Conta Corrente;"2020-12-12";689
690;Conta Corrente;"2018-12-07";690
691;Conta Corrente;"2018-07-02";691
692;Conta Corrente;"2021-01-24";692
693;Conta Corrente;"2019-10-10";693
694;Conta Corrente;"2019-09-27";694
695;Conta Corrente;"2021-05-28";695
696;Conta Corrente;"2021-10-25";696
697;Conta Corrente;"2020-09-06";697
